ISBN,Імʼя автора,Жанр книги,Мова,Мова оригіналу,Назва видавця,Назва книги,Оригінальна назва,Перекладач,Рік видання
978-617-544-086-5,,Дітям 4-6 років,українська,,УЛА,Дюймовочка,,,2022.0
978-617-544-087-2,,Дітям 4-6 років,українська,,УЛА,Маленький Мук,,,2022.0
978-617-7678-85-3,К. Каната,Дітям 7-12 років,українська,,Наша Ідея,Чі. Життя однієї киці.Том 6,,,2021.0
978-617-7678-81-5,Т. Валенте,Дітям від 12 років,українська,,Наша Ідея,Радіант.Том 4,,,2021.0
978-617-585-280-4,М. Енде,Дітям 4-6 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Джим Ґудзик і 13 навіжених. Книга друга,,,2024.0
978-966-7047-91-7,Р. Дал,Дітям 7-12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Джеймс і гігантський персик,,,2022.0
978-966-989-045-0,,Дітям 7-12 років,,,Талант,Про все на світі маленьким українцям,,,2022.0
978-966-987-602-7,,Дітям до 4-х років,українська,,ЧП «Кристал Бук»,Школа чомучки. Учимося мислити логічно. 100 розвивальних наліпок,,,2021.0
978-617-8280-89-5,Л. Адлінґтон,Дітям від 12 років,українська,,Видавництво РМ,Червона стрічка,,,2024.0
978-966-7047-29-0,Дж. К. Ролінґ,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Гаррі Поттер і напівкровний принц. Книга 6,,,2019.0
978-617-17-0021-5,О. Шевченко,Дітям 4-6 років,українська,,Віват,1000 англійських слів,,,2023.0
978-617-7914-71-5,Паоліні К.,Дітям від 12 років,українська,,Nebo Booklab Publishing,"Ераґон, кн.1",,Володимир Артюх,2023.0
978-617-8383-26-8,Е. Портер,Дітям від 12 років,українська,,Nebo Booklab Publishing,Полліанна,,,2024.0
978-966-982-007-5,Г. Мункастер,Дітям 7-12 років,українська,,Віват,Айседора Мун потрапляє в халепу,,,2020.0
9786177846177,,Дітям 4-6 років,українська,,Ранок,Щенячий Патруль. Пригодницькі розмальовки. Торт-тастрофа,,,2024.0
978-966-993-581-6,М. Міст,Дітям 7-12 років,українська,,Bookchef,Маленька зла книжка. Книга 3,,,2021.0
978-617-679-685-5,Г. Вдовиченко,Дітям 7-12 років,українська,,Видавництво Старого Лева,36 і 6 котів-компаньйонів,,,2019.0
978-966-448-085-4,Марія Ґріпе,Дітям від 12 років,українська,,Видавництво Старого Лева,Дивовижна історія Аґнес Сесилії,,,2023.0
978-966-448-226-1,М. МакДоналд,Дітям 7-12 років,українська,,Видавництво Старого Лева,Джуді Муді у понеділковому настрої. Книга 16,,,2023.0
978-966-751-084-8,Леся Українка,Дітям від 12 років,українська,,Ранок,Мавка. Лісова пісня,,,2023.0
978-617-7678-87-7,К. Шірахама,Дітям від 12 років,українська,,Наша Ідея,Ательє чаклунських капелюхів. Том 5,,,2021.0
978-966-913-718-0,,Дітям 4-6 років,українська,,Пегас,Моя перша абетка. Абетка тварин,,,2017.0
978-617-679-647-3,Т. Янссон,Дітям 7-12 років,українська,,Видавництво Старого Лева,Країна Мумі-тролів. Книга 2,,,2005.0
9786170985262,,Дітям до 4-х років,українська,,Ранок,Малюкові про все цікаве на світі,,,2024.0
978-617-585-182-1,Дж. К. Ролінг,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Гаррі Поттер і Келих Вогню. Книга 4  Велике ілюстроване видання,,,2019.0
978-617-15-0184-3,Т. Коллінз,Дітям 7-12 років,українська,англійська,КСД,Шерлок Бонз та справа про зниклого чарівника. Книга 3,Sherlock Bones and the Vanishing Magician,Соломарська Олена,2023.0
9789667515706,,Дітям від 12 років,українська,,Ранок,Мавка. Кольорове коло. Вода,,,2024.0
978-966-284-619-5,,Дітям до 4-х років,українська,,УЛА,Велика книга завдань з наліпками. 3–4 роки,,,2019.0
978-6-17-098478-4,Л. Ріверс,Дітям від 12 років,українська,,Ранок,Плекай свої почуття (і мисли позитивно). Книжка про емоції для дівчаток,,,2024.0
978-966-429-443-7,К. Ґір,Дітям від 12 років,українська,,ВД «Школа»,Timeless. Рубінова книга. Книга 1,,,2017.0
9786177084838,Перро Шарль,Дітям 7-12 років,українська,,Пегас,Казки. Шарль Перро,,,2022.0
978-617-7914-77-7,М. Твен,Дітям 7-12 років,українська,,Nebo Booklab Publishing,Пригоди Тома Соєра,,,2023.0
978-966-936-175-2,,Дітям 7-12 років,українська,,ЧП «Кристал Бук»,Ілюстрований атлас живої природи,,,2023.0
978-966-448-028-1,Захарченко О.,Дітям від 12 років,українська,,Видавництво Старого Лева,Метро до Темного Міста,,,2022.0
978-617-7670-58-1,О. Жукова,Дітям 7-12 років,українська,,ЧП АССА,Порадник молодшого школяра,,,2023.0
978-617-585-014-5,Малкович І.,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,100 казок. Том 3,,,2014.0
9786178253387,М. Галевська-Кустра,Дітям до 4-х років,українська,,Час Майстрів,Бодьо хоче пісяти,,,2023.0
978-966-982-170-6,Г. Блек,Дітям від 12 років,українська,,Віват,Лихий король,,,2020.0
978-617-547-469-3,,Дітям 7-12 років,українська,,ЧП «Кристал Бук»,Ви маєте це знати. Світ звірів,,,2024.0
978-617-15-0714-2,А. Шмахтль,Дітям 4-6 років,українська,німецька,КСД,Тільда Яблучне Зернятко. Книга 4. Великий переполох у Шипшиновому провулку,Tilda Apfelkern. Viel Wirbel im Heckenrosenweg,Трегубенко Олена,2024.0
978-617-15-0642-8,Л. Керролл,Дітям від 12 років,українська,,КСД,Аліса в Країні Див. Аліса в Задзеркаллі,,"Бушина Г., с.17-19 Корнієнко В.",2024.0
978-617-7678-62-4,К. Шірахама,Дітям від 12 років,українська,,Наша Ідея,Ательє чаклунських капелюхів. Том 3,,,2021.0
978-966-942-710-6,Г. Мункастер,Дітям 7-12 років,українська,,Віват,Айседора Мун їде на море,,,2019.0
9786178211240,,Дітям 4-6 років,українська,,Егмонт Україна,Класика Disney. Колекція казок,,,2023.0
9789667512934,,Дітям до 4-х років,українська,,Ранок,Сірко,,,2023.0
978-617-7678-52-5,К. Шірахама,Дітям від 12 років,українська,,Наша Ідея,Ательє чаклунських капелюхів.Том 2,,,2020.0
9789667508517,І. Сонечко,Дітям до 4-х років,українська,,Ранок,Все про цуценятко,,,2022.0
978-617-547-347-4,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Як перестати соромитися?,,,2023.0
9786171502123,Т. Коллінз,Дітям 7-12 років,українська,англійська,КСД,Шерлок Бонз і справа про королівські прикраси. Книга 1,Sherlock Bones and the case of the Crown Jewells,,2023.0
978-617-548-160-8,Фрауке Шойнеманн,Дітям 7-12 років,українська,,Bookchef,Пригоди кота-детектива. Книга 5: Кіт під прикриттям,,,2023.0
978-966-7047-40-5,Дж. К. Ролінґ,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Гаррі Поттер і келих вогню. Книга 4,,,2019.0
9789669135339,,Дітям 4-6 років,українська,,Пегас,Про автомобілі,,,2022.0
978-617-585-233-0,Дж. Страуд,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,"Агенція «Локвуд і Ко». Тінь, що крадеться. Книга 4",,,2022.0
978-966-429-873-2,Б. Кантіні,Дітям 7-12 років,українська,,ВД «Школа»,Мортіна і захопливий сюрприз,,,2023.0
978-966-982-193-5,А. Казаліс,Дітям 4-6 років,українська,,Віват,Велика книга про пори роки,,,2021.0
978-617-5230-15-2,Б. Селзнік,Дітям від 12 років,українська,,АРТБУКС,Винахід Гюго Кабре,,,2024.0
978-966-679-989-3,,Дітям від 12 років,українська,,Видавництво Старого Лева,Страшні дівчата,,,
