ISBN,Імʼя автора,Жанр книги,Мова,Мова оригіналу,Назва видавця,Назва книги,Оригінальна назва,Перекладач,Рік видання
978-617-585-234-7,Квентін Тарантіно,Сучасні автори,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Одного разу в Голлівуді,,,2022.0
978-617-8109-46-2,Шіро Куроі,Комікси та манґи,українська,,Наша Ідея,"Левіафан, том 2",,,2023.0
978-617-679-732-6,Т. Пратчетт,Фентезі,українська,,Видавництво Старого Лева,Відьми за кордоном,,,2019.0
978-966-942-955-1,А. Кокотюха,Детективи,українська,,Віват,Вигнанець і чорна вдова,,,2019.0
978-617-8202-15-6,,Комікси та манґи,українська,,Lantsuta,Монолог травниці. Том 2,,,2024.0
978-617-8248-95-6,Дж. Беррі,Детективи,українська,,Рідна мова,Скандальне сестринство з Приквіллов-роуд,,,2023.0
978-617-8178-02-4,Ірина Вільде,Історична та пригодницька проза,українська,,Віхола,Сестри Річинські. Том 3,,,2024.0
978-617-15-0511-7,С. Кінг,Фантастика,українська,англійська,КСД,Долорес Клейборн,DOLORES CLAIBORNE,Куч Володимир,2024.0
978-617-7914-25-8,С.А. Чакраборті,Фентезі,українська,,Nebo Booklab Publishing,Латунне місто,,Ксенія Сокульська,2023.0
978-966-948-857-2,Карен М.Мак-Манус,Детективи,українська,,Видавнича група КМ-БУКС,Двоюрідні,,,2024.0
978-966-10-8762-9,А. Кокотюха,Детективи,українська,,Навчальна книга Богдан,Шлюбні ігрища жаб,,,2024.0
978-617-95197-6-5,О. Декань,Фентезі,українська,,Видавництво ТУТ,Нурлінь. Длань Еміхола. Книга 1,,,2024.0
978-617-548-121-9,Дж. Стейнбек,Сучасні автори,українська,,Bookchef,Про мишей і людей,,,2022.0
978-617-522-173-0,К. Авіт,Сучасні автори,українська,,Фабула,Я тут,,,2024.0
978-617-8109-41-7,Фуджісава Б.,Комікси та манґи,українська,,Наша Ідея,"Кривавий Марс, том 2",,,2023.0
978-617-523-122-7,Т. Болдрі,Фентезі,українська,,АРТБУКС,Легенди та лате Limited edition,,,2024.0
9786175530252,К. Еран,Сучасні автори,українська,,Видавництво Анетти Антоненко,А надворі – літо,,,2023.0
978-617-15-0397-7,Люко Дашвар,Сучасні автори,українська,,КСД,СпАДок,,,2023.0
978-617-8120-61-0,С. Інґ,Сучасні автори,українська,,Наш формат,Несказане,,,2023.0
978-617-548-188-2,Кейм МакДоннелл,Детективи,українська,,Bookchef,Дублінська трилогія. Книга 0: Ангели в місячному світлі,,,2023.0
978-617-12-8100-4,В. Стефаник,Класична література,українська,,КСД,Новели,,,2020.0
978-617-17-0249-3,Емілі Сент-Джон Мандел,Фантастика,українська,,Віват,Море спокою,,,2024.0
978-617-12-9970-2,Е. М. Ремарк,Класична література,українська,німецька,КСД,Чорний обеліск,Der schwarze Obelisk,Євген Попович,2023.0
978-617-12-9304-5,С. Кінг,Фентезі,українська,англійська,КСД,Мізері,Misery,,
978-966-10-5092-0,А. Кокотюха,Детективи,українська,,Навчальна книга Богдан,Легенда про Безголового,,,2023.0
9786177756490,Браян Лі О’Меллі,Комікси та манґи,українська,,Malopus,Скотт Пілігрим. Том 3,,,2023.0
978-617-8023-63-8,Кен Бруен,Детективи,українська,,Жорж,Священник. Джек Тейлор. Книга 5,,,2024.0
978-617-15-0706-7,В. Голт,Романтична проза,українська,англійська,КСД,Лендоверська спадщина,The Landower Legacy,Фурса Олександра,2024.0
978-617-17-0142-7,Ф. Мак-Фадден,Трилери та жахи,українська,,Віват,Служниця,,,2023.0
978-617-12-5632-3,В. Шкляр,Сучасні автори,українська,,КСД,Кров кажана,,,2019.0
978-617-8202-19-4,,Комікси та манґи,українська,,Lantsuta,Монолог травниці. Том 3,,,2024.0
978-617-7885-69-5,,Комікси та манґи,українська,,Molfar Comics,Наречена чаклуна. Том 1,,,2023.0
978-617-7818-72-3,Арт Шпіґельман,Комікси та манґи,українська,,Видавництво,Маус. Сповідь уцілілого,,,2024.0
978-617-8280-45-1,Рут Веа,Детективи,українська,,Видавництво РМ,Поворот ключа,,,2023.0
978-617-15-0701-2,А. Новік,Сучасні автори,українська,,КСД,Останній спадок,,,2024.0
