ISBN,Імʼя автора,Жанр книги,Мова,Мова оригіналу,Назва видавця,Назва книги,Оригінальна назва,Перекладач,Рік видання
978-617-09-5452-7,Д. Кеннеді,Бізнес-література,українська,,Фабула,Безжальний менеджмент. Управління людьми та прибутком,,,2023.0
978-617-8115-81-4,Марк Блейк,"Історія, факти та біографії",українська,,Наш формат,Фредді Меркюрі: A Kind of Magic + суперобкладинка,Freddie Mercury: A Kind of Magic by Mark Blake,,2024.0
978-617-7766-68-0,Д. Воронський,"Історія, факти та біографії",українська,,Брайт Букс,Гетьмани України. Перші,,,2023.0
978-617-12-8323-7,Л. Гунель,"Саморозвиток, мотивація",українська,французька,КСД,І знайдеш ти скарб у собі,Et tu trouveras le tresor qui dort en toi,Ю. Д. Кузьменко,2020.0
9786178216092,М. Лаюк,Наукпоп,українська,,Ukraїner,Бахмут,,,2023.0
978-966-982-222-2,Д. Ґоулман,Психологія,українська,,Віват,Емоційний інтелект у бізнесі,,,2021.0
9786178257279,С. Демчук,"Історія, факти та біографії",українська,,Віхола,"Доба постів і карнавалів. Як жили, пили і кохалися у cередньовіччі",,,2023.0
978-617-7925-56-8,Ярослав Грицак,"Історія, факти та біографії",українська,,Портал,Подолати минуле: глобальна історія України,,,2022.0
978-617-12-9089-1,С. Пілскоґ,Наукпоп,українська,шведська,КСД,Зовнішня історія. Penis. Керівництво з експлуатації,Penis: En handbok. Myter Og Sannheter,Р. Й. Білозір,2021.0
978-617-679-545-2,Ґ. Балаґе,"Історія, факти та біографії",українська,,Видавництво Старого Лева,Мессі,,,2023.0
978-617-8115-39-5,Талеб Н.Н.,Психологія,українська,,Наш формат,Шкура у грі,,,2022.0
978-617-7866-88-5,Д. Пітерсон,Психологія,українська,,Наш формат,Ще 12 правил життя. За межами порядку,,,2021.0
978-617-12-6083-2,Х. Стівенс,"Саморозвиток, мотивація",українська,англійська,КСД,Приборкай своїх драконів. Як перетворити недоліки на переваги,Transforming Your Dragons. How to Turn Fear Patterns into Personal Power,В. І. Кучменко,2019.0
978-617-12-9939-9,Шарлотта Фокс Вебер,Бізнес-література,українська,,КСД,"Чого я хочу. Дванадцять потаємних бажань, щоб підкорити світ",,Лебеденко Ярослав,2023.0
9786177756933,,Дозвілля та Хобі,українська,,Malopus,Книга ласощів Гаррі Поттера. Неофіційне видання за авторством Каті Бом та Тома Ґрімма,,,2023.0
9786175772591,,Наукпоп,українська,,Моноліт,Ваш адвокат на дорозі без конфліктів,,,2023.0
978-617-522-134-1,М. Січкар,Психологія,українська,,Фабула,8 навичок щасливої дитини. Настільна книга батьків,,,2023.0
978-617-8120-08-5,Ха-Джун Чанґ,Бізнес-література,українська,,Наш формат,Погані самаряни. Міф про вільну торгівлю та невідома історія капіталізму,,,2023.0
978-617-12-8337-4,Е. Берн,Психологія,українська,англійська,КСД,"Секс у людському коханні. Ігри, в які грають у ліжку",Sex in Human Loving,О. В. Стукало,2020.0
978-617-8120-10-8,Д. Со,Наукпоп,українська,,Наш формат,Кінець гендеру. Розвінчання міфів про стать та ідентичність,,,2023.0
978-617-12-9501-8,Р. Бретт,"Саморозвиток, мотивація",українська,,КСД,"Бог ніколи не моргає. 50 уроків, які змінять твоє життя",,,2022.0
978-611-540-945-7,Є. Гороть,Наукпоп,українська (англійська),,Ранок,Великий англо-український словник (100 000 слів і словосполучень),,,
978-617-548-045-8,К. Тіппінг,Психологія,українська,,Bookchef,Радикальне самопрощення. Прямий шлях до істинного прийняття себе,,,2022.0
978-617-7960-30-9,Станчишин В.,Психологія,українська,,Віхола,Для стосунків потрібні двоє,,,2022.0
