ISBN,Імʼя автора,Жанр книги,Мова,Мова оригіналу,Назва видавця,Назва книги,Оригінальна назва,Перекладач,Рік видання
9786171213692,А. Сапковський,eBooks - Фентезі,українська,,КСД,Відьмак. Кров ельфів. Книга 3,,,
9786171299146,Я. Дегтяренко,eBooks - Історико-пригодницькі,українська,,КСД,Князь русинів. У павутинні інтриг. Книга 1,,,2022.0
9786171297487,К. Воллес,eBooks - Історія і факти,українська,,КСД,"Зворотний відлік 1945 року: атомна бомба та 116 днів, що змінили світ",,,
9786171287921,Ф. Ґреґорі,eBooks - Історико-пригодницькі,українська,,КСД,Ще одна з роду Болейн,,,2021.0
9786171210844,"за заг. ред. О. Зінченка, В. В’ятровича, М. Майорова",eBooks - Історія і факти,українська,,КСД,Війна і міф. Невідома Друга світова,,,
9786171242869,Д. Тартт,eBooks - Сучасні автори,українська,,КСД,Таємна історія,,,
9786171504066,І. Бенкс,eBooks - Сучасні автори,українська,,КСД,Осина фабрика,,,2023.0
9786171507760,Д. Браун,eBooks - Сучасні автори,українська,,КСД,Інферно,,,2024.0
9786171297210,Дж. Мойєс,eBooks - Романи про кохання,українська,,КСД,Вілла нашого кохання,,,
9786171506817,Р. Осман,eBooks - Детективи,українська,,КСД,Останній демон,,,2024.0
9786171295513,Лі  Бардуґо,eBooks - Фентезі,українська,,КСД,Облога та штурм. Книга 2,,,
9786171278813,Є. Береженська,eBooks - Романи про кохання,українська,,КСД,І в пустелі ростуть квіти,,,2020.0
9786171507555,В. Голт,eBooks - Романи про кохання,українська,,КСД,Маска Чарівниці,,,2024.0
978-617-12-2097-3,В. В’ятрович,eBooks - Історія і факти,українська,,КСД,За лаштунками «Волині-43». Невідома польско-українська війна,,,2016.0
978-966-14-8432-9,Б. Стокер,eBooks - Класика,українська,,КСД,Дракула,,,2014.0
978-617-12-2243-4,П. Гоукінз,eBooks - Детективи,українська,,КСД,Дівчина у потягу,,,2016.0
9789661427098,І. Котляревський,eBooks - Класика,українська,,КСД,Енеїда. Наталка Полтавка,,,2011.0
9786171502888,В. Шкляр,eBooks - Сучасні автори,українська,,КСД,Ключ,,,2023.0
9786171289734,Дж. Фанґ,eBooks - Здоров’я,українська,,КСД,Код ожиріння. Секрети втрати ваги,,,
978-617-12-1249-7,Д. Тартт,eBooks - Сучасні автори,українська,,КСД,Щиголь,,,2016.0
9786171292024,Дж. Сільвер,eBooks - Романи про кохання,українська,,КСД,Два життя Лідії Берд,,,2021.0
9786171209886,А. Сапковський,eBooks - Фентезі,українська,,КСД,Відьмак. Останнє бажання. Книга 1,,,
9786171282742,В. Стефаник,eBooks - Класика,українська,,КСД,Новели,,,2020.0
9786171505780,Е. Конвей,eBooks - Детективи,українська,,КСД,Аргайл,,,2024.0
9786171294769,Е. Шафак,eBooks - Історико-пригодницькі,українська,,КСД,10 хвилин та 38 секунд у цьому дивному світі,,,
9786171504127,Дж. Сілз,eBooks - Детективи,українська,,КСД,Убивство за етикетом,,,2023.0
9786171502123,Т. Коллінз,eBooks - Дітям 7-12 років,українська,,КСД,Шерлок Бонз та справа про королівські прикраси. Книга 1,,,2023.0
9789661427241,І. Нечуй-Левицький,eBooks - Класика,українська,,КСД,Кайдашева сім’я. Гетьман Іван Виговський,,,2011.0
9786171278455,С. Кінг,eBooks - Фентезі,українська,,КСД,Коли впаде темрява,,,2020.0
