Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Гвідо Ван Генехтен,Чудовий подарунок,Українська мова,,,,Ранок,2024.0,9786170987747.0,Ранній розвиток
Катя Алвес,"Роби, як ми! 10 маленьких сов не хочуть спати",Українська мова,,,,Ранок,2024.0,9786170987532.0,Книги для найменших
"Світлана Ройз,Марія Чайка",Сміховисько,Українська мова,,,,Видавництво Старого Лева,2024.0,9789664481851.0,Дітям 7-9
"Олексій Коваленко,Дарія Філіппова",Планета у лапах. Як тварини оберігають довкілля,Українська мова,,,,Видавництво Старого Лева,2024.0,9789664482353.0,Енциклопедії для дітей
Гаська Шиян,"Падорміри, Спомалі і зникнення доньки Президентки",Українська мова,,,,Видавництво Старого Лева,2024.0,9789664482940.0,Дітям 7-9
Марина Макущенко,Книжка Таємне життя дивозвірів Марії Примаченко,Українська мова,,,,Видавництво Старого Лева,2024.0,9789664482124.0,Культура. Мистецтво. Фотографія
Джордан Ліс,Шептосвітичі. Лабіринт блукань і знахідок,Українська мова,,,,Видавництво Старого Лева,2024.0,9789664482902.0,Дітям 7-9
Том Флетчер,Космічний гурт,Українська мова,,,,Видавництво Старого Лева,2024.0,9789664482735.0,Дітям 7-9
Макс Вейнрайт,25 ігор для дітей. Scratch 3. Жартівливий посібник з кодування,Українська мова,,,,Видавництво Старого Лева,2024.0,9789664482957.0,Програмування для дітей
Леся Мовчун,Як виростити супербабусю?,Українська мова,,,,Ще одну сторінку,2024.0,9786175222577.0,Перше самостійне читання
Геннадій Меламед,Коли я сумую,Українська мова,,,,Ранок,2024.0,9789667516161.0,Книги для найменших
Film.UA,Мавка. Чудові розваги. Чарівні загадки і лабіринти,Українська мова,,,,Ранок,2024.0,9786170988683.0,Книжки з наліпками
Film.UA,Мавка. Допитливим і кмітливим,Українська мова,,,,Ранок,2024.0,9786170988713.0,Книжки з наліпками
Film.UA,Мавка. Пограймо з Мешканцями Лісу,Українська мова,,,,Ранок,2024.0,9786170988706.0,Книжки з наліпками
Film.UA,Мавка. Чудові розваги. Подорож у Світ Мавки,Українська мова,,,,Ранок,2024.0,9786170988690.0,Книжки з наліпками
Шамблен Ж.,Щоденники Вишеньки та Валентин,Українська мова,,,,Наша Ідея,2024.0,9786178396107.0,Дітям 7-9
Джесс Бредлі,Суперботан і олівець долі,Українська мова,,,,Vivat,2024.0,9786171703421.0,Дітям 7-9
Штєпанка Секанінова,Магічний музей: Стародавній Єгипет,Українська мова,,,,Vivat,2024.0,9786171705289.0,Енциклопедії для дітей
"liveBEAR,Mun Sung Ho,Jin Seol Woo",Друїд зі станції Сеул. Том 1,Українська мова,,,,Наша Ідея,2024.0,9786178396176.0,Комікси
Нік Іст,Агент Ласка та Їжачиха з Великої дороги. Книга 4,Українська мова,,,,Ранок,2024.0,9786170975508.0,Дітям 7-9
Дж. А. Вайт,Книжка Школа тіні. Фантоми. Книга 3,Українська мова,,,,Ранок,2024.0,9786170982186.0,Школярам 9-12
Адамсон Ґед,Книжка Ми шукаємо слона,Українська мова,,,,Ранок,2024.0,9786170987136.0,Дітям 3-4
Кадзу Кібуїші,Амулет. Шукачі поміж хмар. Книга 3,Українська мова,,,,Ранок,2024.0,9786170981172.0,Комікси
Голлі Вебб,Хом'яча магія. Книга 3. Таємниця родини,Українська мова,,,,BookChef,2024.0,9786175482391.0,Повісті. Оповідання.Проза
Голлі Вебб,Магічний кролик. Книга 4. Випробування дружби,Українська мова,,,,BookChef,2024.0,9786175482414.0,Повісті. Оповідання.Проза
Елеонор Портер,Поліанна,Українська мова,,,,BookChef,2024.0,9786175482469.0,Повісті. Оповідання.Проза
Елеонор Портер,Поліанна,Українська мова,,,,,2024.0,9786178373832.0,Повісті. Оповідання.Проза
"Юліта Ран,Катерина Підлісна",Пес Патрон і Великий Т,Українська мова,,,,Ранок,2024.0,9786170988454.0,Перше самостійне читання
Лорена Паджалунґа,Диномедитація,Українська мова,,,,Жорж,2024.0,9786178287139.0,Дітям 5-6
Ганна Макуліна,Пригоди гнома Тимка,Українська мова,,,,Ранок,2024.0,9786170987020.0,Повісті. Оповідання.Проза
Лущевська О.,"Дай лапу, Пепітко",Українська мова,,,,Артбукс,2024.0,9786175231463.0,Дітям 7-9
Томас Флінтем,"Натисни СТАРТ! Кінець гри, Суперзайчику!",Українська мова,,,,Артбукс,2024.0,9786175231012.0,Дітям 7-9
Томас Флінтем,Натисни СТАРТ! Суперзайчик підсилюється!,Українська мова,,,,Артбукс,2024.0,9786175231029.0,Дітям 7-9
Марія Артеменко,Левова книжка,Українська мова,,,,Артбукс,2024.0,9786175230503.0,Дітям 7-9
Сюзанна Вебер,Зайчик Щастунчик. Строката вдача,Українська мова,,,,Vivat,2024.0,9786171705142.0,Казки для дітей
Шарль Перро,Улюблені казки Перро,Українська мова,,,,Vivat,2024.0,9789669823830.0,Казки для дітей
Ганс Кристіан Андерсен,Улюблені казки Андерсена,Українська мова,,,,Vivat,2024.0,9789669822963.0,Казки для дітей
Всеволод Нестайко,Неймовірні детективи. Книга 2. Агент СД. Ципа зникає вдруге,Українська мова,,,,Vivat,2024.0,9789669827647.0,Повісті. Оповідання.Проза
"Аннетт Герцоґ,Ольга Штробель",Маленький борсучок і великий борсук,Українська мова,,,,Vivat,2024.0,9786171705050.0,Казки для дітей
Анна Ланг,Як навчити свого дракончика,Українська мова,,,,Vivat,2024.0,9786171704947.0,Казки для дітей
