Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Шамблен Ж.,Щоденники Вишеньки та Валентин,Українська мова,,,,Наша Ідея,2024.0,9786178396107.0,Дітям 7-9
"liveBEAR,Mun Sung Ho,Jin Seol Woo",Друїд зі станції Сеул. Том 1,Українська мова,,,,Наша Ідея,2024.0,9786178396176.0,Комікси
Ґарт Енніс,Каратель МАХ. Том 2,Українська мова,,,,Varvar Publishing,2024.0,9786179524752.0,Комікси
Кадзу Кібуїші,Амулет. Шукачі поміж хмар. Книга 3,Українська мова,,,,Ранок,2024.0,9786170981172.0,Комікси
"Нора Моретті,Одрі Альветт,Сітро Треб",Сад фей. Том 2. Маленька королева,Українська мова,,,,Наша Ідея,2024.0,9786178396268.0,Комікси
Максим Солнцев,Залізний ідол. Сфера. Випуск 1,Українська мова,,,,UA Comix,2024.0,9786178056346.0,Комікси
Максим Солнцев,Залізний ідол. Сфера. Випуск 2,Українська мова,,,,UA Comix,2024.0,9786178056360.0,Комікси
Кейсуке Котобукі,Коко. Острів чарівників. Том 1,Українська мова,,,,Lantsuta,2024.0,9786178202149.0,Комікси
"Дастін Нґуєн,Джефф Лемір",Книга Обраниця. Мертве море. Том 2,Українська мова,,,,Ранок,2024.0,9786170984678.0,Фантастика. Фентезі для підлітків
"Мод Беґон,Френсіс Бернетт",Таємний сад,Українська мова,,,,Ірбіс Комікси,2024.0,9786177569540.0,Комікси
Пейо,Ґарґамель проти смурфів,Українська мова,,,,Ірбіс Комікси,2024.0,9786177569434.0,Дітям 7-9
"Меттсон Томлін,Андреа Сорентіно",Бетмен. Самозванець,Українська мова,,,,Видавництво РМ,2024.0,9786178373238.0,Комікси
Анна Ґіяр,Балакухи.Том 2. Заспокойтеся!,Українська мова,,,,Наша Ідея,2024.0,9786178396039.0,Комікси
Кен Вакуі,Токійські месники (Tokyo Revengers). Том 8,Українська мова,,,,Наша Ідея,2024.0,9786178396145.0,Комікси
"Мунеюкі Канешіро,Юске Номура",Синя тюрма (Blue lock). Том 3,Українська мова,,,,Наша Ідея,2024.0,9786178396060.0,Комікси
"Діан ле Феєр,Мистер Тан",Крута Адель. Том 10. Замуркоханість,Українська мова,,,,Наша Ідея,2024.0,9786178109974.0,Комікси
"Ксав'є Дорісон,Фелікс Делеп",Замок тварин. Том 3. Ніч праведників,Українська мова,,,,Наша Ідея,2024.0,9786178396084.0,Комікси
"Коохей Наґаші,Масакі Кірітомо",300 днів із тобою. Том 1,Українська мова,,,,Наша Ідея,2024.0,9786178396077.0,Комікси
Ященко Ігор,Stars Cry №5,Українська мова,,,,ТУТ,2024.0,9786178132491.0,Комікси
Ященко Ігор,Stars Cry №4,Українська мова,,,,ТУТ,2024.0,9786178132484.0,Комікси
Ященко Ігор,Stars Cry №3,Українська мова,,,,ТУТ,2024.0,9786178132477.0,Комікси
Ященко Ігор,Stars Cry №2,Українська мова,,,,ТУТ,2024.0,9786178132460.0,Комікси
Ященко Ігор,Stars Cry №1,Українська мова,,,,ТУТ,2024.0,9786178132453.0,Комікси
"Дастін Нґуєн,Лемір Джефф",Книга Обраниця. Занепала галактика. Том 1,Українська мова,,,,Ранок Дети,2024.0,9786170984661.0,Фантастика. Фентезі для підлітків
Мацуда Джюко,Загін сміливців,Українська мова,,,,Ранок,2024.0,9786170985705.0,Комікси
,Тільки через мій труп,Українська мова,,,,Vivat,2024.0,9786171701175.0,Комікси
Денис Фадєєв,Княжа Воля. Том 3,Українська мова,,,,The will production,2024.0,9786179500565.0,Комікси
"Джеймс Тайніон IV,Метью Розенберґ",Джокер. Том 1,Українська мова,,,,Видавництво РМ,2023.0,9786178373023.0,Комікси
Малін Фалк,Вікінги й Оракул (Північне сяйво),Українська мова,,,,Vivat,2024.0,9786171702523.0,Комікси
Малін Фалк,Північне сяйво. Книга 1. Долина тролів,Українська мова,,,,Vivat,2024.0,9786171702516.0,Комікси
"Фрауке Шойнеманн,Ніколай Ренґер",Вінстон. Найпотаємніші справи. Книга 2. Корабель-привид,Українська мова,,,,BookChef,2024.0,9786175482193.0,Комікси
Денис Фадєєв,13 Курінь,Українська мова,,,,The will production,2024.0,9786179500558.0,Комікси
"Джон Дж. Гілл,Сара Ґрейлі,Сфе Р. Монстр",MINECRAFT. Комікс. Том 3,Українська мова,,,,Артбукс,2023.0,9786175230305.0,Комікси
Кадзу Кібуїші,Амулет. Хранителька каменя. Книга 1,Українська мова,,,,Ранок,2023.0,9786170981158.0,Комікси
"Жан-Крістоф Дерр'єн,Фріжель Дерр'єн",Фріжель і Флаффі. Том 6. Садиба Хiробрiна,Українська мова,,,,Наша Ідея,2023.0,9786178109899.0,Комікси
Ерсін Карабулут,Тривожний вісник Стамбула  Том 1,Українська мова,,,,Наша Ідея,2023.0,9786178109905.0,Комікси
"Фелікс Делеп,Ксав'є Дорісон",Замок тварин. Зимові маргаритки,Українська мова,,,,Наша Ідея,2023.0,9786178109875.0,Комікси
Неґі Харуба,П'ять наречених близнят. Том 2,Українська мова,,,,Наша Ідея,2023.0,9786178109868.0,Комікси
Кен Вакуі,Токійські месники Том 7,Українська мова,,,,Наша Ідея,2023.0,9786178109851.0,Комікси
"Анна-Ліз Нален,Паскаль Рютер,Жорис Шамблен",Серце шрифтом Брайля  Том 1,Українська мова,,,,Наша Ідея,2023.0,9786178109660.0,Комікси
