Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Mary Wollstonecraft Shelley,"Frankenstein; or, The Modern Prometheus",російська,,,,Країна Мрій,2019.0,,Білінгва. Книги іноземними мовами
Louis,The Body Snatcher and Other Tales,Англійська,,,,Країна Мрій,2020.0,9786177498338,Білінгва. Книги іноземними мовами
A. Achell,Клинок королеви: Дитя тіней,Українська мова,,,,BookChef,2024.0,9786175482612,Книги жанру Фантастика. Фентезі. Містика
A. Achell,Клинок королеви. Танок із тінями,Українська мова,,,,BookChef,2023.0,9786175481530,Книги жанру Фантастика. Фентезі. Містика
Яценко П.,Короткий путівник із галицького сексу,Українська мова,,,,Піраміда,2015.0,,Сучасна українська проза
Яцек Дукай,Крига. Частини ІII–ІV,Українська мова,,,,Астролябія,2018.0,9786176641513,Книги жанру Фантастика. Фентезі. Містика
Ясміна Михайлович,На березі Хозарського моря (КС),Українська мова,,,,Фоліо,2020.0,9789660389618,Романи
"Ясинський  О., Ясінська Н.","ПолЛЮЦИя, ЛЮЦИфер, РевоЛЮЦИя. Мистический роман в шести частях, с прологом и эпилогом",російська,,,,Саміт-книга,2021.0,9789669860668,Сучасна українська проза
Ярослава Шекера,Піднебесні пісні,Українська мова,,,,Сафран,2019.0,9789669788351,Поезія
Ярослава Литвин,Вілла у Сан-Фурсиско,Українська мова,,,,Фабула,2024.0,9786175221723,Сучасна українська проза
Ярослава Литвин,Не мій дім,Українська мова,,,,Фабула,2021.0,9786175220429,Сучасна українська проза
Ярослава Литвин,Рік розпусти Клауса Отто Баха,Українська мова,,,,Фабула,2021.0,9786170965493,Сучасна українська проза
Ярослава Дегтяренко,Князь русинів. У павутинні інтриг (книга 1),Українська мова,,,,Клуб сімейного дозвілля,2022.0,9786171297999,Романи
Ярослава Дегтяренко,Останній володар,Українська,,,,Клуб сімейного дозвілля,2021.0,9786171286238,Історична проза
Ярослав Яріш,Лицар з Кульчиць,Українська мова,,,,Фоліо,2016.0,9789660375123,Історична проза
Ярослав Мельник,Далекий простір,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,9786175851609,Книги жанру Фантастика. Фентезі. Містика
"Ярина Чорногуз,Павло Вишебаба,Віталій Бирчак,Жирохов Михайло,Юлія Вротна,О. О. Самсонова,Яна Сідаш,Ярослав Коник,Сергій Нуженко",Незламній / For Invincible,Українська мова,,,,Фоліо,2023.0,9786175513408,Поезія
Ярина Сенчишин,Розплєси,Українська мова,,,,Видавництво Старого Лева,2021.0,9786176798019,Поезія
Яремчук Н.,"Небезнадежное. Рассказы, записки врача",російська,,,,Білка,2020.0,9786177792030,Сучасна українська проза
Януш Леон Вишневський,Зміщення спектра,Українська мова,,,,Фабула,2019.0,9786170955838,Сучасна зарубіжна проза
Януш Леон Вишневський,Самотність у мережі,Українська мова,,,,Фабула,2019.0,9786170955821,Сентиментальна проза
Януш Леон Вишневський,Самотність в мережі,Українська мова,,,,Фабула,2019.0,,Сучасна зарубіжна проза
Януш Леон Вишневський,Усі мої жінки. Пробудження. (мінімальний брак),Українська мова,,,,РМ,2018.0,9789669172013,Романи
Януш Леон Вишневський,Самотність у мережі (мінімальний брак),Українська мова,,,,РМ,2019.0,9789669170040,Романи
Яна Задирієнко,Легенди галицьких хасидів,Українська мова,,,,Фоліо,2023.0,9786175513767,Історична проза
Яна Вовк,"Бажання хибні, бажання справжні",Українська мова,,,,Богдан,2023.0,9789661086387,Сучасна українська проза
Якуб М.,Не твоє собаче діло,Українська мова,,,,Vivat,2021.0,9789669822697,Детективи
Якуб М.,Мертві моделі (чорна обкл),Українська мова,,,,Смолоскип,2019.0,9786177173990,Детективи
Якуб М.,Мертві моделі (бордова обкл),Українська мова,,,,Смолоскип,2019.0,9786177173990,Детективи
Юстейн Ґордер,Помаранчева дівчинка,Українська мова,,,,Літопис,2021.0,9786177962075,Романи
Юрко Позаяк,Шедеври,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2017.0,9786175850428,Поезія
"Юрій Яновський,Ярина Цимбал",Майстер корабля,Українська мова,,,,Vivat,2024.0,9786171701090,Класична проза
Юрій Яновський,Майстер корабля,Українська мова,,,,Pabulum,2023.0,9786178325008,Сучасна українська проза
Юрій Яновський,Чотири шаблi (ШБ),Українська мова,,,,Фоліо,2014.0,9789660368231,Класична проза
Юрій Яновський,Майстер корабля,Українська мова,,,,Фоліо,2023.0,9786175512241,Класична проза
Юрій Яновський,Вершники. Байгород,Українська мова,,,,Кондор,2020.0,9786177841936,Класична проза
Юрій Яновський,Майстер корабля,Українська мова,,,,Кондор,2022.0,9786177841202,Класична проза
Юрій Яновський,Майстер корабля. Байгород,Українська мова,,,,Віхола,2023.0,9786178257446,Класична проза
Юрій Щербак,Час Тирана,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2021.0,9786175852118,Книги жанру Фантастика. Фентезі. Містика
Юрій Щербак,Час Великої Гри. Фантоми 2079 року,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,,Книги жанру Фантастика. Фентезі. Містика
Юрій Сорока,Нотатки Семена Паливоди. Книга 3. Лист з Ватикану,Українська мова,,,,Фоліо,2023.0,9789660397972,Сучасна українська проза
Юрій Сорока,Куля для вовкулаки. Нотатки Семена Паливоди н,Українська мова,,,,Фоліо,2018.0,9789660382329,Сучасна українська проза
Юрій Сорока,Бій під Крутами,Українська мова,,,,Фоліо,2017.0,9789660372184,Сучасна українська проза
Юрій Новодворскі,Молескін,Українська мова,,,,Discursus,2022.0,9786177411955,Сучасна українська проза
Юрій Липа,Щоденний бій,Українська мова,,,,Фоліо,2024.0,9786175517789,Поезія
Юрій Іздрик,Після Прози,Українська мова,,,,Meridian Czernowitz,2022.0,9786178024284,Поезія
Юрій Іздрик,Третій рай,Українська мова,,,,Видавництво Старого Лева,2023.0,9789664482285,Поезія
Юрій Іздрик,Після прози,Українська мова,,,,Видавництво 21,2020.0,9786176143154,Поезія
Юрій Гудименко,Історії та війни,Українська мова,,,,Фоліо,2023.0,9786175513873,Сучасна українська проза
