Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Кибуиши  К.,Амулет. Книга 1. Хранительница камня,російська,,,,Yakaboo Publishing,2019,9785000742334,Манга
Юкимура М.,Сага о Винланде. Книга 1,російська,,,,Yakaboo Publishing,2020,9785604344415,Манга
Хасэкура  И.,Волчица и пряности. Том 1,російська,,,,Yakaboo Publishing,2021,9785904676018,Манга
Синкай М.,Твое имя. Том 1,російська,,,,Yakaboo Publishing,2017,9785907014022,Манга
Синкай М.,Твое имя. Том 3,російська,,,,Yakaboo Publishing,2017,9785907014046,Манга
Хигасимура А.,Блаблабла. Том 1,російська,,,,Yakaboo Publishing,2019,9785907014510,Манга
Мацуда Джюко,Привид Києва. Манґа,Українська мова,,,,Ранок,2022,9786170979339,Манга
Мацуда Джюко,The Ghost of Kyiv,Англійська мова,,,,Ранок,2022,9786170979346,Манга
Мацуда Джюко,Позивний Кіт,Українська мова,,,,Ранок,2023,9786170980816,Манга
Бритт Ф.,"Джейн, лисиця і я",Українська мова,,,,Vivat,2019,9786176909323,Манга
"Алькьє Жером,Доллен Арно",Сейнт Сейя. Лицарі зодіаку,Українська мова,,,,Ірбіс Комікси,2024,9786177569472,Манга
Конами К.,Чі. Життя однієї киці. Том 2,Українська мова,,,,Наша Ідея,2020,9786177678419,Манга
Тоні Валенте,Радіант. Том 1,Українська мова,,,,Наша Ідея,2020,9786177678488,Манга
Шірахама К.,Ательє чаклунських капелюхів. Том 2,Українська мова,,,,Наша Ідея,2020,9786177678525,Манга
Тоні Валенте,Radiant. Том 2,Українська мова,,,,Наша Ідея,2020,9786177678532,Манга
Шірахама К.,Ательє чаклунських капелюхів. Том 3,Українська мова,,,,Наша Ідея,2021,9786177678624,Манга
Тоні Валенте,Radiant. Том 3,Українська мова,,,,Наша Ідея,2021,9786177678631,Манга
Конами Каната,Чі. Життя однієї киці. Том 5,Українська мова,,,,Наша Ідея,2021,9786177678648,Манга
Масаакі Ніномія,Ґаннібал. Том 1,Українська мова,,,,Наша Ідея,2021,9786177678693,Манга
Моришита суу,Кохання на кінчиках пальців. Том 1,Українська мова,,,,Наша Ідея,2021,9786177678709,Манга
Моришита суу,Кохання на кінчиках пальців. Том 2,Українська мова,,,,Наша Ідея,2021,9786177678716,Манга
