Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Феррис С.,Інґа,Українська мова,,,,Yakaboo Publishing,2018.0,9789669763327,Біографії та мемуари
,Блиск і полум’я. Біографія діамантів,Українська мова,,,,Yakaboo Publishing,2018.0,9789669763310,Біографії та мемуари
Харукі Муракамі,"Про що я говорю, коли говорю про біг",Українська мова,,,,Yakaboo Publishing,2020.0,9786177544431,Біографії та мемуари
Обама Б.,Мрії мого батька. Історія про расу і спадок,Українська мова,,,,Yakaboo Publishing,2021.0,9786177544264,Біографії та мемуари
Вудворд Б.,Страх. Трамп у Білому домі,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544158,Біографії та мемуари
"Емі Чуа,Джед Рубенфелд",Три сили. Як виховують в успішних спільнотах,Українська мова,,,,Yakaboo Publishing,2019.0,9789669763389,Виховання дітей
Наталія Бушковська,Діти 0-2. Народження і виховання в українських реаліях,Українська мова,,,,Yakaboo Publishing,2023.0,9786177933280,Виховання дітей
"Антоніна Оксанич,Олександра Сидорченко",Розумію тебе! Як виховати дітей без крайнощів,Українська мова,,,,Yakaboo Publishing,2023.0,9786177933242,Виховання дітей
Емілі Остер,Шпаргалка для батьків. Науковий підхід для спокійних батьків – від народження до садка,Українська,,,,Yakaboo Publishing,2020.0,9786177544233,Виховання дітей
Аніта Мурджані,Сила емпатів. Переваги чутливості в цьому жорстокому світі,Українська мова,,,,Yakaboo Publishing,2021.0,9786177933013,"Емоції, управління стресом"
Беверлі Енгл,Звільнись від емоційного насилля,Українська мова,,,,Yakaboo Publishing,2022.0,9786177544790,"Емоції, управління стресом"
Остапів Л.,Любомир Остапів. Війна та бюджет.,Українська мова,,,,Yakaboo Publishing,2022.0,9786177933648,Загальна економіка
Доер Д.,«Міряй важливе. OKR: проста ідея зростання вдесятеро»,Українська мова,,,,Yakaboo Publishing,2018.0,9786177544073,Інвестиції. Фінанси
Навіді С.,«Суперхаби. Як фінансові еліти та їхні мережі керують світом»,Українська мова,,,,Yakaboo Publishing,2018.0,9786177544066,Інвестиції. Фінанси
"Котлер Ст.,Уіл Дж.",«Викрадачі вогню. Таємна революція змінених станів»,Українська мова,,,,Yakaboo Publishing,2019.0,9786177544004,Інвестиції. Фінанси
Сенор Д.,«Країна стартапів. Історія ізраїльського економічного дива»,Українська мова,,,,Yakaboo Publishing,2016.0,9789669763303,Історії успіху та біографії відомих людей
Марія Росс,«Емпатія в бізнесі: цінність співпереживання як двигун успіху»,Українська мова,,,,Yakaboo Publishing,2021.0,9786177933112,Історії успіху та біографії відомих людей
Лінда Скотт,«Економіка з двома іксами: грандіозний потенціал жіночої незалежності»,Українська мова,,,,Yakaboo Publishing,2021.0,9786177544875,Історії успіху та біографії відомих людей
Вульф А.,«Долина богів. Історії з Кремнієвої долини                                                           »,Українська мова,,,,Yakaboo Publishing,2018.0,9786177544035,Історії успіху та біографії відомих людей
,«Долина богів. Історії з Кремнієвої долини»,Українська мова,,,,Yakaboo Publishing,2018.0,9786177544035,Історії успіху та біографії відомих людей
Лашинскі Адам,«Дика гонка. Як Uber підкорював світ»,Українська мова,,,,Yakaboo Publishing,2018.0,9786177544011,Історії успіху та біографії відомих людей
Іван Верстюк,Іван Верстюк. Коли за вікнами зміни,Українська мова,,,,Yakaboo Publishing,2022.0,9786178107505,"Історія, право"
Дубілет Д.,Що ви несете? Дмитро Дубілет розповідає найцікавіші історії про прапори усіх країн світу,Українська мова,,,,Yakaboo Publishing,2021.0,9786177544967,"Історія, право"
Славенка Дракуліч,"Кафе ""Європа"". Життя після комунізму",Українська мова,,,,Yakaboo Publishing,2020.0,9786177544691,"Історія, право"
Ярослав Грицак,Нарис історії України. Формування модерної нації XIX-XX століття,Українська мова,,,,Yakaboo Publishing,2019.0,9786177544127,"Історія, право"
Лорден Г.,«Мисли масштабно. Маленькі кроки до великої кар'єри»,Українська мова,,,,Yakaboo Publishing,2021.0,9786177933006,"Кар'єра, особиста ефективність"
"Карлссон.С,Лейонхуфвуд.Йо",Spotify навиворіт: як шведський стартап здійснив музичну революцію,Українська мова,,,,Yakaboo Publishing,2019.0,9786177544899,"Кар'єра, особиста ефективність"
Холл К.,"«Сторітелінг, який не залишає байдужим»",Українська мова,,,,Yakaboo Publishing,2020.0,9786177544400,"Кар'єра, особиста ефективність"
Брюс Дейслі,«Задоволення від роботи. 30 способів кайфувати від своєї справи»,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544356,"Кар'єра, особиста ефективність"
Річард Кулатта,Цифрові громадяни. Як виробити здорові диджитал-навички у ваших дітей,Українська мова,,,,Yakaboo Publishing,2022.0,9786177933310,Комп'ютерні технології
"Возняк С., Сміт Д.",iWoz. Від комп'ютерного ґіка до культу,Українська мова,,,,Yakaboo Publishing,2017.0,9786177544028,Комп'ютерні технології
Наталя Вотсон,Пиво: еволюція смаку в 50 стилях,Українська мова,,,,Yakaboo Publishing,2019.0,9786177544981,Кулінарія
"Крістін Мюльке,Сом А.",Wine Simple. Про вино від сомельє світового класу,Українська,,,,Yakaboo Publishing,2019.0,9786177544820,Кулінарія
Малахова Д.,Моя кухня,Українська,,,,Yakaboo Publishing,2020.0,9786177544714,Кулінарія
"Ґійом Ларош,Седрік Блатрі,Аррі Анноні",Raisin: 100 великих натуральних емоційних вин,Українська мова,,,,Yakaboo Publishing,2022.0,9786177544585,Кулінарія
Саймон Вулф,Amber Revolution. Як світ закохався в оранжеве вино,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544493,Кулінарія
Фейринг Е.,Натуральне вино для кожного. Що це? Де його знайти? Як у нього закохатись?,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544448,Кулінарія
Дубілет Д.,Что вы несете? Дмитрий Дубилет рассказывает самые интересные истории о флагах всех стран мира,російська,,,,Yakaboo Publishing,2021.0,9786177933235,"Мандри, туризм"
Василь Махно,Уздовж океану на ровері,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544653,"Мандри, туризм"
"Біденко С.,Золотаревич  І.",«Репутаційний антистрес. Інструктор для власників і топ-менеджерів бізнесу»,Українська мова,,,,Yakaboo Publishing,2019.0,9786177933143,"Маркетинг, реклама, PR"
Педроза Л.,"«Гнучкі бренди. Ловіть клієнтів, стимулюйте зростання та вирізняйтеся на ринку»",Українська мова,,,,Yakaboo Publishing,2021.0,9786177544684,"Маркетинг, реклама, PR"
Джейсон Дорси,«Zкономіка: як покоління Z zмінює майбутнє біzнесу»,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544516,"Маркетинг, реклама, PR"
"Скотт Д.М., Скотт Р.",«Фанократія. Перетворення фанатів на клієнтів і клієнтів на фанатів»,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544417,"Маркетинг, реклама, PR"
Томпсон Д.,«Хітмейкери. Наука популярності та змагання за увагу»,Українська мова,,,,Yakaboo Publishing,2018.0,9786177544080,"Маркетинг, реклама, PR"
Финкельштейн С.,«Супербоси. Як видатні лідери плекають таланти»,Українська мова,,,,Yakaboo Publishing,2018.0,9789669763372,Менеджмент
,«Дилема інноватора. Як нові технології нищать сильні компанії»,Українська мова,,,,Yakaboo Publishing,2018.0,9789669763334,Менеджмент
Діна Волинець,"«CURLY менеджмент: як управляти проєктами, не зраджуючи себе»",Українська мова,,,,Yakaboo Publishing,2023.0,9786178107550,Менеджмент
Інбал Аріелі,«Хуцпа. Чому Ізраїль став світовим центром інновацій та підприємництва»,Українська мова,,,,Yakaboo Publishing,2021.0,9786177544837,Менеджмент
Варол О.,"«Думай, як у NASA. Звички, ідеї та стратегії для досягнення неможливого»",Українська мова,,,,Yakaboo Publishing,2020.0,9786177544721,Менеджмент
Кнапп Дж.,«Спринт. Вирішуйте складні завдання і тестуйте нові ідеї за 5 днів»,Українська мова,,,,Yakaboo Publishing,2019.0,9786177544325,Менеджмент
Зігмонд Д.,«Офіс Будди. Давнє мистецтво пробуддження через сумлінну роботу»,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544295,Менеджмент
"Комсток Б.,Раз  Т.","«Вперед за мрією. Відвага, креативність і сила змін»",Українська мова,,,,Yakaboo Publishing,2019.0,9786177544196,Менеджмент
Йоріш А.,«Нехай будуть з вами інновації. Як ізраїльська винахідливість рятує світ»,Українська мова,,,,Yakaboo Publishing,2019.0,9786177544172,Менеджмент
Ремо Дж.,"«Сьоме чуття. Влада, багатство і виживання в епоху мереж»",Українська мова,,,,Yakaboo Publishing,2018.0,9786177544059,Менеджмент
Ґальфар К.,"Всесвіт на долоні. Подорож крізь простір, час та за їхні межі",Українська,,,,Yakaboo Publishing,2017.0,9789669763341,Наука і техніка
Вікторія Покатіс,Незламні. Книжка про спротив українських жінок у війні з російськими загарбниками,Українська мова,,,,Yakaboo Publishing,2023.0,9786178107598,Наука і техніка
Максін Бедат,Розібрані. Життя та смерть однієї одежини,Українська мова,,,,Yakaboo Publishing,2022.0,9786177933273,Наука і техніка
Сет М. Сіген,Нехай буде вода. Ізраїльський досвід вирішення світової проблеми нестачі води,Українська мова,,,,Yakaboo Publishing,2021.0,9786177544950,Наука і техніка
Марк Хонігсбом,Століття пандемій. Історія глобальних інфекцій від іспанського грипу до COVID-19,Українська мова,,,,Yakaboo Publishing,2021.0,9786177544745,Популярна медицина
Райан Ф.,Вірусосфера. Від застуди до COVID – навіщо людству віруси,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544707,Популярна медицина
Озерна Д.,"Книжка для дорослих. Як старшати, але не старіти Книжка для дорослих. Як старшати, але не старіти",Українська мова,,,,Yakaboo Publishing,2021.0,9786177544622,Популярна медицина
Стівен Гаєс,Звільнений розум. Як стати психологічно гнучким і перемогти Внутрішнього Диктатора,Українська мова,,,,Yakaboo Publishing,2022.0,9786177933198,"Психологія спілкування, любов, відносини"
Вікторія Боярина,Стосунки в парі. Як створити міцну і щасливу родину,Українська,,,,Yakaboo Publishing,2021.0,9786177544769,"Психологія спілкування, любов, відносини"
Дарка Озерна,Бути окей. Що важливо знати про психічне здоров’я,Українська мова,,,,Yakaboo Publishing,2020.0,9786177544523,"Психологія спілкування, любов, відносини"
Вікторія Боярина,Стосунки в родині. Як стати усвідомленими батьками і сформувати сімейну культуру,Українська мова,,,,Yakaboo Publishing,2022.0,9786177544363,"Психологія спілкування, любов, відносини"
Остапів Л.,Малюк та бюджет. Як українським батькам виховати фінансово успішних дітей,Українська,,,,Yakaboo Publishing,2020.0,9786177544677,Ранній розвиток
Сергій Гайдайчук,The Club. Мистецтво об'єднувати,Українська мова,,,,Yakaboo Publishing,2021.0,9789669795069,"Саморозвиток, особистісний ріст, мотивація"
