Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
"Большакова І. О.,Пристінська М. С.",Українська мова та читання. Навчальний посібник для 2 класу ЗЗСО (у 6-ти частинах). Частина 1,Українська мова,,,,Ранок,2024.0,9786170987877.0,Українська мова (Школярам та абітурієнтам)
Коваль Н.М.,SMARTліто. Іду у 1 клас,Українська мова,,,,АРТ,2024.0,9786170986931.0,Збірники завдань (Школярам та абітурієнтам)
Коваль Н.М.,SMARTліто. Іду у 4 клас,Українська мова,,,,АРТ,2024.0,9786170986948.0,Збірники завдань (Школярам та абітурієнтам)
Коваль Н.М.,SMARTліто. Іду у 3 клас,Українська мова,,,,АРТ,2024.0,9786170986917.0,Збірники завдань (Школярам та абітурієнтам)
"Пелагейченко В. О.,Пелагейченко М. Л.",Математика -- це круто! Візуалізований посібник 5-6 клас,Українська мова,,,,Основа,2024.0,9786170042422.0,Математика (Школярам та абітурієнтам)
О. В. Антикуз,Пізнаємо природу. 6 клас. Мій конспект. Матеріали до уроків,Українська мова,,,,Основа,2023.0,9786170041906.0,Підручники з природознавства та я досліджую світ
"Гісь О.М.,Зелінська М.М.,Філяк І.В.","Робочий Зошит Математика. 2 клас. У 2-х частинах. Частина 2 (Гісь, Філяк)",Українська мова,,,,Ранок,2024.0,9786170977519.0,Математика (Школярам та абітурієнтам)
О. Г. Куцінко,Українська література. Усі діагностувальні роботи. 7 клас,Українська мова,,,,Основа,2024.0,9786170042651.0,Українська література
"Гісь О.М.,Зелінська М.М.,Філяк І.В.","Робочий Зошит Математика. 2 клас. У 2-х частинах. Частина 1 (Гісь, Філяк)",Українська мова,,,,Ранок,2022.0,9786170977502.0,Математика (Школярам та абітурієнтам)
Стус Т.В.,"НУШ 1 клас ЧИТАНКА ""Перше коло читання з КОТОЗАВРИКОМ""",Українська мова,,,,Літера,2024.0,9789669454447.0,Читання (Школярам та абітурієнтам)
"Світлана Василенко,Яна Коваль,Лариса Колотій","Здоров'я, безпека та добробут. 6 клас. Підручник",Українська мова,,,,Літера,2023.0,9789669454065.0,Основи здоров`я  (Школярам та абітурієнтам)
,Підручник Етика 6 клас НУШ,Українська мова,,,,Літера,2023.0,9789669453846.0,Етика. Логіка (Школярам та абітурієнтам)
Цепова І. В.,Мій перший зошит. Прописи для лівшів. 1 клас. До букваря Цепової І. В. У 2-х частинах. Ч. 2,Українська мова,,,,Ранок,2024.0,9786170945396.0,"Письмо, прописи, моторика"
Цепова І. В.,Мій перший зошит. Прописи для лівшів. 1 клас. До букваря Цепової І. В. У 2-х частинах. Ч.1,Українська мова,,,,Ранок,2024.0,9786170945389.0,"Письмо, прописи, моторика"
Шевчук Л.В.,"Картки самооцінювання з української мови до всіх типових освітніх програм НУШ, 3 клас",Українська мова,,,,Літера,2024.0,9789669454188.0,Українська мова (Школярам та абітурієнтам)
Людмила Паук,НУШ 3 клас КАРТКИ САМООЦІНЮВАННЯ Математика,Українська мова,,,,Літера,2024.0,9789669454386.0,Математика (Школярам та абітурієнтам)
Наземнова Т. О.,Мистецтво. 1 клас: альбом,Українська мова,,,,Ранок,2019.0,9786170957153.0,"Музика, мистецтво (Школярам та абітурієнтам)"
"І. Л. Мед,Т. Є. Рубля,Т. Л. Щеглова,Агата Крісті",Мистецтво. 1 клас: зошит (до підручника Калініченко),Українська мова,,,,Ранок,2019.0,9786170957160.0,"Музика, мистецтво (Школярам та абітурієнтам)"
Юрченко Н.,Мій альбом для малювання. 4-5 років.,Українська мова,,,,Основа,2024.0,9786170042378.0,"Музика, мистецтво (Школярам та абітурієнтам)"
Юрченко Н.,Мій альбом для малювання. 5-6 років,Українська мова,,,,Основа,2024.0,9786170042507.0,"Музика, мистецтво (Школярам та абітурієнтам)"
Юрченко Н.Ф.,Вчуся обчислювати усно. 1-2 класи,Українська мова,,,,Основа,2024.0,9786170042361.0,Математика (Школярам та абітурієнтам)
Ткачук,"Післябукварик 1 кл. Посібник для уроків чит., письма і розвитку мовл. у післябукварний період (НУШ)",Українська мова,,,,Підручники і посібники,2021.0,9789660737525.0,Підручники. Посібники (Школярам та абітурієнтам)
Юрченко Н.Ф.,Вчуся розвʼязувати задачі. 1-2 класи,Українська мова,,,,Основа,2024.0,9786170042484.0,Математика (Школярам та абітурієнтам)
Ванжа С.М.,Розгорнутий календарний план. ТРАВЕНЬ. Старший вік,,,,,"Ранок, Харьков",2024.0,9786170988447.0,Методична література (вихователям та педагогам)
О. Г. Куцінко,Українська мова.  7 клас. ІІ семестр. Мій конспект. Матеріали до уроків,Українська мова,,,,Основа,2024.0,9786170042460.0,Українська мова (Школярам та абітурієнтам)
"Л. Шевчук,Леся Антонова,О.Г. Шамрило",Веселі історії про літні канікули (з 3 у 4 клас),Українська мова,,,,Літера,2021.0,9789669451316.0,Підручники. Посібники (Школярам та абітурієнтам)
Шевчук Л.В.,НУШ 1 клас МОВЛЕНЯТКО Уроки письма в післябукварний період,Українська мова,,,,Літера,2024.0,9789669454164.0,"Письмо, прописи, моторика"
Шевчук Л.В.,НУШ 2 клас КАРТКИ САМООЦІНЮВАННЯ Українська мова,Українська мова,,,,Літера,2024.0,9789669454379.0,Українська мова (Школярам та абітурієнтам)
Людмила Паук,НУШ 2 клас КАРТКИ САМООЦІНЮВАННЯ Математика,Українська мова,,,,Літера,2024.0,9789669454157.0,Математика (Школярам та абітурієнтам)
"Власов В.С.,Панарін О.Є.,Топольницька Ю.",Підручник 9 кл Історія України (поглиблене вивчення історії),Українська мова,,,,Літера,2022.0,9789669453235.0,Історія України (Школярам та абітурієнтам)
"Г. Є. Фефілова,М. В. Коновалова",Зарубіжна література. Усі діагностувальні роботи. 7 клас.,Українська мова,,,,Основа,2024.0,9786170042477.0,Зарубіжна література
"Подрушняк Л.І,Даушкіна А.В.,Івченко Л.А.",Географія. Материки та океани. Усі діагностувальні роботи. 7 клас.,Українська мова,,,,Основа,2024.0,9786170042606.0,Географія (Школярам та абітурієнтам)
