knigoland_students,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
,«Розмовна італійська. Слова та фрази. 500 карток»,Італійська,,,,English Student,2019.0,9789669773838.0,Іноземна мова (Школярам та абітурієнтам)
Олександр Авраменко,100 експрес-уроків української,Українська мова,,,,#Книголав,2016.0,9789669761002.0,Самовчителі  (Школярам та абітурієнтам)
,"АНГЛІЙСЬКА для початкового і середнього рівня (А1-В1). Граматика, Словник, ІДІОМИ",,,,,Літера,2020.0,9789669452399.0,Іноземна мова (Школярам та абітурієнтам)
,Lingva Inkognita,російська,,,,Vivat,2019.0,9789669427625.0,Іноземна мова (Студентам та аспірантам)
Олена Ларікова,Українсько-польський розмовник,Українська / Польська,,,,Vivat,2018.0,9789669427199.0,Розмовники (Студентам та аспірантам)
,Нумо клеїти Половинки,Українська мова,,,,Торсінг,2020.0,9789669396990.0,Розмовники  (Школярам та абітурієнтам)
Іщенко І.М.,"Словники від А до Я Німецько-український, українсько-німецький словник",Українська / Німецька,,,,Торсінг,2018.0,9789669394200.0,Словники (Школярам та абітурієнтам)
,Словники від А до Я Сучасний тлумачний словник укр. мови 55 000 слів,Українська мова,,,,Торсінг,2017.0,9789669393524.0,Словники (Студентам та аспірантам)
,English Усі вправи з граматики англійської мови,Українська / Англійська,,,,Торсінг,2016.0,9789669391650.0,Іноземна мова (Студентам та аспірантам)
,Лінгвотренажер.English Часи дієслів,,,,,ПЕТ,2021.0,9789669253262.0,Іноземна мова (Школярам та абітурієнтам)
Олег Таланов,Українсько-італійський розмовник,"Українська мова, Італійська",,,,Арій,2011.0,9789668959936.0,Розмовники (Студентам та аспірантам)
,Українсько-французький розмовник,Українська / Французька,,,,Фоліо,2019.0,9789668959929.0,Розмовники  (Школярам та абітурієнтам)
Олег Таланов,Українсько-французський розмовник,"Українська мова, французька",,,,Арій,2023.0,9789668959929.0,Розмовники (Студентам та аспірантам)
Голицынский Ю.,Spoken English. Посібник з розмовної мови,Українська / Англійська,,,,Арій,2020.0,9789668959738.0,Іноземна мова (Школярам та абітурієнтам)
"Л. В. Радовецька,О. О. Тихомиров,О. К. Тугарова",Сучасні основи професійної діяльності правника,Українська мова,,,,Кондор,2022.0,9789668916830.0,"Студентам, аспірантам"
Без автора,PERISKOP-Ruckblick: Weltnachrichten 1.Учебное пособю по немецкому языку,"Російська, Німецька",,,,Методика,2008.0,9789668315824.0,Іноземна мова (Школярам та абітурієнтам)
,PONS Fachwоrterbuch Marktwirtschaft. Рус-нем/нем-рус.словарь,російська,,,,Методика,2004.0,9789668315206.0,Іноземні мови
Хехт Д.,PONS Basiswоrterbuch. Deutsch als Fremdsprache - словарь базовой немецкой грамматики,російська,,,,Методика,2004.0,9789668315190.0,Іноземні мови
,"СЛОВНИК: Фр-укр, укр-фр. 6 000 сл. Литера; ; 30 шт.; ~ Л0043У",російська,,,,Літера,,9789667543648.0,Словники (Школярам та абітурієнтам)
,"СЛОВНИК: Нім-укр, укр-нім. 6 000сл. (у/н) Литера ~ 30 шт.; ; (Л0042У)",Українська,,,,Літера,,9789667543631.0,Словники (Школярам та абітурієнтам)
,"Розмальовка для найменших. Світ поні, лам та єдинорогів",Українська мова,,,,Кенгуру,2021.0,9789667505813.0,Розмальовки
,Disney Маля. Моя перша кольоровка. Вінні Пух. За зразком,Українська мова,,,,Ранок,2019.0,9789667504038.0,Книжки з наліпками
,Нікчемний Я. Веселі посіпаки (У); Кольоровий БУЛЬ,Українська мова,,,,Ранок,2019.0,9789667502263.0,Дозвілля і творчість дітей
,Сам.француз.яз. Прак.курс (рус) тв.п.,російська,,,,Методика,2019.0,9789667269296.0,Іноземні мови
Дугин С.П.,English Новий курс. Elementary: від артикля до 7 граматичних часів,,,,,Університетська книга,2020.0,9789666809622.0,Самовчителі (Студентам та аспірантам)
Дугин С.П.,Читать. Писать. Говорить по-немецки. Самоучитель,Російсько-німецький,,,,Університетська книга,2020.0,9789666809257.0,Самовчителі  (Школярам та абітурієнтам)
Дугин С.П.,Читать. Писать. Говорить по-французски. Самоучитель,французька,,,,Університетська книга,2019.0,9789666809240.0,Самовчителі  (Школярам та абітурієнтам)
Дугин С.П.,Читать. Писать. Говорить по-английски. Самоучитель,Російсько-англійський,,,,Університетська книга,2020.0,9789666809233.0,Самовчителі  (Школярам та абітурієнтам)
Дугин С.П.,English Funny Stories. Вправи на переказ+словник та довід. грам. матеріал,,,,,Університетська книга,2020.0,9789666809189.0,Іноземна мова (Студентам та аспірантам)
Дегтярева,Ukrenian for Beginners. Українська мова для іноземців,Українська / Англійська,,,,Університетська книга,2020.0,9789666809165.0,"Студентам, аспірантам"
"Сич Т.,Демірська О.","Розмовник 7 мов. Корисні фрази (укр, англ, франц, араб, сомалійська, форсі, бенгалі",Українська мова,,,,Університетська книга,2020.0,9789666809127.0,Розмовники  (Школярам та абітурієнтам)
,Українська мова для іноземців. Рівень А2,Українсько-англійський,,,,Університетська книга,2020.0,9789666809080.0,Підручники. Посібники (вихователям та педагогам)
Голованенко Е.,Українська мова для іноземців. Рівень А1,Українсько-англійський,,,,Університетська книга,2020.0,9789666809073.0,Підручники. Посібники (вихователям та педагогам)
,Українська мова для іноземців. Рівень В1,Українська мова,,,,Університетська книга,2020.0,9789666809066.0,Підручники. Посібники (вихователям та педагогам)
Дугин С.П.,Deutsch: просто про найскладніше. Cамовчитель,,,,,Університетська книга,2019.0,9789666809011.0,Самовчителі (Студентам та аспірантам)
Дугин С.П.,Learn Ukrainian Now. Teach-yourself book. Самовчитель української для іноземців,Українська мова,,,,Університетська книга,2020.0,9789666808885.0,Самовчителі  (Школярам та абітурієнтам)
"Станіслав Дугін,Ольга Коньок,Юлія Косенко",Learn Ukrainian Now. Teach-yourself book. Самовчитель української для іноземців,Англійська мова,,,,Університетська книга,2019.0,9789666808885.0,Самовчителі (Студентам та аспірантам)
Дугин С.П.,"Learn Ukrainian Now. Teach-yourself book. Самовчитель української для іноземців / С. П. Дугін, О.П.",,,,,Університетська книга,2019.0,9789666808885.0,Самовчителі (Студентам та аспірантам)
Дугин С.П.,English для дітей та батьків. Кн.2 Сімейний самовчитель,,,,,Університетська книга,2019.0,9789666808854.0,Самовчителі (Студентам та аспірантам)
Дугин С.П.,Французкий за 26 уроков: самоучитель С.П. Дугин,Українська,,,,Університетська книга,2019.0,9789666808274.0,Самовчителі  (Школярам та абітурієнтам)
Барчук О.,"Українська мова для іноземців: навчальний посібник / Барчук О.Г., Волкова О.М., Ворона Н. О. та ін.;",Українська мова,,,,Університетська книга,2019.0,9789666808151.0,Підручники. Посібники (вихователям та педагогам)
Дугин С.П.,English: вивчаємо англійську читаючи. Книга для читання / С. П. Дугін (Початковий курс),,,,,Університетська книга,2020.0,9789666808014.0,Самовчителі (Студентам та аспірантам)
Дугин С.П.,English: часи дієслова / С. П. Дугін. (Початковий курс),Українська,,,,Університетська книга,2019.0,9789666807956.0,Іноземні мови
Дугин С.П.,English: просто про найскладніше. Новий самовчитель / С. П. Дугін (Основний курс),,,,,Університетська книга,2019.0,9789666807949.0,Самовчителі (Студентам та аспірантам)
Дугин С.П.,English: від артикля до шести граматичних часів. 25 міні-уроків / С. П. Дугін (Початковий курс),Українська / Англійська,,,,Університетська книга,2019.0,9789666807901.0,Самовчителі (Студентам та аспірантам)
,СЛОВАРЬ современный фразеологический 10 000,російська,,,,Ранок,,9789666721931.0,Словники (Школярам та абітурієнтам)
,"Димань Т., Гриневич Н., Мазур Т. БЕЗПЕКА ХАРЧОВИХ ГІДРОБІОНТІВ",Українська мова,,,,Академія,2022.0,9789665806486.0,"Студентам, аспірантам"
,Ковалів Ю. ІСТОРІЯ УКРАЇНСЬКОЇ ЛІТЕРАТУРИ (кін.ХІХ-поч.ХХІ ст.). Т. 8: Еміграційні колізії письменства,Українська мова,,,,Академія,2021.0,9789665806479.0,"Студентам, аспірантам"
,Седих К. ПСИХОЛОГІЯ СІМ'Ї,Українська мова,,,,Академія,2021.0,9789665806394.0,"Студентам, аспірантам"
,Савчин М. ВІКОВА ПСИХОЛОГІЯ,Українська мова,,,,Академія,2021.0,9789665806370.0,"Студентам, аспірантам"
,Чекмишев О. ОСНОВИ ЖУРНАЛІСТИКИ,Українська мова,,,,Академія,2021.0,9789665806363.0,"Студентам, аспірантам"
,ОСНОВИ ПСИХОКОРЕКЦІЇ,Українська мова,,,,Академія,2021.0,9789665806189.0,"Студентам, аспірантам"
,Харчук Р. ІСТОРИЧНА ПАМ'ЯТЬ Т. Г. ШЕВЧЕНКА. Спроба реконструкції,Українська мова,,,,Академія,2019.0,9789665805618.0,"Студентам, аспірантам"
,Ковалів Ю. ІСТОРІЯ УКРАЇНСЬКОЇ ЛІТЕРАТУРИ (кін.ХІХ-поч.ХХІ ст.). Т. 4: У сподіваннях і трагічних зламах,Українська мова,,,,Академія,2017.0,9789665805083.0,"Студентам, аспірантам"
,Ковалів Ю. ІСТОРІЯ УКРАЇНСЬКОЇ ЛІТЕРАТУРИ (кін.ХІХ-поч.ХХІ ст.). Т. 5: У сподіваннях і трагічних зламах,Українська мова,,,,Академія,2017.0,9789665805069.0,"Студентам, аспірантам"
,"Сучасна українська літературна мова. Вправи, завдання за творами Т.Г.Шевченка",Українська мова,,,,Академія,2016.0,9789665804888.0,"Студентам, аспірантам"
,Давня українська література. Словник-довідник,Українська мова,,,,Академія,2018.0,9789665804666.0,"Студентам, аспірантам"
,Історія української літератури (кін.XIX- поч.XXIст) 3 т: У пошуках іман. сенсу,Українська мова,,,,Академія,2014.0,9789665804505.0,"Студентам, аспірантам"
,Історія української літератури (кін.XIX- поч.XXIст) 2 т: У пошуках іман. сенсу,Українська мова,,,,Академія,2013.0,9789665804215.0,"Студентам, аспірантам"
,Історія української літератури (кін.XIX- поч.XXIст) 1 том: У пошуках,Українська мова,,,,Академія,2013.0,9789665804185.0,"Студентам, аспірантам"
,Крижанівська О. ІСТОРІЯ УКРАЇНСЬКОЇ МОВИ. Історична фонетика. Історична граматика.,Українська мова,,,,Академія,2010.0,9789665803119.0,"Студентам, аспірантам"
Алексеева,Сучасний ІВРИТ для початківців,Українська мова,,,,Арій,2021.0,9789664987582.0,Самовчителі (Студентам та аспірантам)
Федонюк,Українсько-словацький розмовник,Українська мова,,,,Арій,2023.0,9789664987520.0,Розмовники (Студентам та аспірантам)
Оваденко О.Н.,Сам собі вчитель англійської,Українська / Англійська,,,,Арій,2020.0,9789664987513.0,Самовчителі (Студентам та аспірантам)
Додж М.,Читаємо англійською: Срібні ковзани (Pre-Intermediate),Англійська,,,,Арій,2020.0,9789664987452.0,Іноземна мова (Школярам та абітурієнтам)
Федонюк,Граматика ЧЕСЬКОЇ МОВИ,Українська мова,,,,Арій,2020.0,9789664987421.0,Іноземна мова (Студентам та аспірантам)
,Граматика ІСПАНСЬКОЇ МОВИ,"Українська мова, Іспанська",,,,Арій,2020.0,9789664987391.0,Іноземна мова (Школярам та абітурієнтам)
,ПРИЙМЕННИКИ німецької мови,Українська / Німецька,,,,Арій,2020.0,9789664987353.0,Іноземна мова (Школярам та абітурієнтам)
Носков С.,Самовчитель німецької мови,,,,,,2021.0,9789664987346.0,Іноземні мови
,Іспанська граматика в таблицях,"Українська мова, Іспанська",,,,Арій,2020.0,9789664987308.0,Іноземна мова (Студентам та аспірантам)
Гнезділова Я.В.,500 найуживаніших англійських слів і висловів,Українська / Англійська,,,,Арій,2022.0,9789664987261.0,Розмовники (Студентам та аспірантам)
,Англійська мова для МЕДИЧНОГО ПЕРСОНАЛУ,Українська мова,,,,Арій,2020.0,9789664987131.0,Самовчителі (Студентам та аспірантам)
,2000 найкорисніших угорських слів і виразів,Українська мова,,,,,2020.0,9789664987070.0,Розмовники  (Школярам та абітурієнтам)
,Словотвір АНГЛІЙСЬКОЇ мови,Українська / Англійська,,,,Арій,2019.0,9789664987063.0,Іноземна мова (Студентам та аспірантам)
,2000 найкорисніших румунських слів і висловів,Українська мова,,,,,2020.0,9789664987032.0,Розмовники  (Школярам та абітурієнтам)
,2000 найкорисніших польских слів,Польська,,,,,2019.0,9789664987025.0,Іноземні мови
Федонюк,Граматика СЛОВАЦЬКОЇ мови,Українська мова,,,,Арій,2019.0,9789664986998.0,Словники (Студентам та аспірантам)
Скосаренко О.Ю.,Граматика ІТАЛІЙСЬКОЇ МОВИ,"Українська мова, Італійська",,,,Арій,2020.0,9789664986981.0,Іноземна мова (Школярам та абітурієнтам)
,Хибні друзі перекладача,Українська мова,,,,Арій,2019.0,9789664986974.0,Іноземна мова (Студентам та аспірантам)
Шурма С.,Українсько-чеський розмовник,Українська,,,,,2023.0,9789664986950.0,Розмовники  (Школярам та абітурієнтам)
Кулешова,Англійська мова для ПРАЦІВНИКІВ ТОРГІВЛІ,Українська / Англійська,,,,Арій,2020.0,9789664986899.0,Самовчителі (Студентам та аспірантам)
Кібець,2000 найкорисніших арабських слів і висловів,Українська мова,,,,,2020.0,9789664986837.0,Розмовники  (Школярам та абітурієнтам)
Кулешова,Англійська мова ПРАЦ.ГОТЕЛЬНО-РЕСТОРАННОГО БІЗНЕСУ,Українська / Англійська,,,,Арій,2020.0,9789664986820.0,Самовчителі (Студентам та аспірантам)
Шурма С.,Країнознавство. USA,Українська / Англійська,,,,Арій,2019.0,9789664986622.0,Іноземна мова (Школярам та абітурієнтам)
Шурма С.,Країнознавство. GREAT BRITAIN,Українська / Англійська,,,,Арій,2019.0,9789664986615.0,Іноземна мова (Школярам та абітурієнтам)
Федонюк,2000 найкорисніших чеських слів і висловів,Українська,,,,,2020.0,9789664986561.0,Розмовники  (Школярам та абітурієнтам)
Доріченко О.А.,2000 найкорисніших японських слів і висловів,Українська мова,,,,Арій,2018.0,9789664986554.0,Самовчителі (Студентам та аспірантам)
Скосаренко О.Ю.,2000 найкорисніших італійських слів і висловів,Українська мова,,,,,2020.0,9789664986547.0,Розмовники  (Школярам та абітурієнтам)
Федонюк,2000 найкориснiших словацьких слiв,Українська мова,,,,,2020.0,9789664986509.0,Розмовники  (Школярам та абітурієнтам)
,2000 найкорисніших німецьких слів і висловів,російська,,,,,2019.0,9789664986356.0,Розмовники  (Школярам та абітурієнтам)
Колісник В.,Розмовнi теми для середньої школи,Українська мова,,,,,2020.0,9789664986318.0,Іноземні мови
Гнезділова Я.В.,Українська мова для АНГЛІЙЦІВ у малюнках,Українська,,,,,2020.0,9789664986288.0,Розмовники  (Школярам та абітурієнтам)
Скосаренко О.Ю.,Розмовник в малюнках ПОРТУГАЛЬСЬКА МОВА (750 слів),Українська,,,,,2020.0,9789664986271.0,Розмовники  (Школярам та абітурієнтам)
Баум Ф.,Читаємо англійською: Американські КАЗКИ (Pre-Intermediate),,,,,Арій,2018.0,9789664986264.0,Казки для дітей
Федоров,Англомовний Етикет,Українська / Англійська,,,,Арій,2019.0,9789664986257.0,Самовчителі (Студентам та аспірантам)
Доріченко О.А.,Англійська мова для СИЛОВИХ СТРУКТУР,Українська / Англійська,,,,Арій,2018.0,9789664986233.0,Самовчителі (Студентам та аспірантам)
Захарчук,Числівники АНГЛІЙСЬКОЇ мови,Українська,,,,,2020.0,9789664986158.0,Словники (Школярам та абітурієнтам)
Федоров,Розмовний етикет. Говоримо англ. ввiчливо,Українська мова,,,,,2020.0,9789664986141.0,Іноземні мови
Кобзан Ю.О.,Розмовник в малюнках КИТАЙСЬКА МОВА (750 слів),Українська,,,,,2020.0,9789664985991.0,Розмовники  (Школярам та абітурієнтам)
Гацкевич,Англійська мова. ГРАМАТИКА. Зб-4,Українська / Англійська,,,,Арій,2018.0,9789664985953.0,Іноземна мова (Студентам та аспірантам)
Доріченко О.А.,Розмовник в малюнках ЯПОНСЬКА МОВА (750 слів),Українська,,,,,2020.0,9789664985908.0,Розмовники  (Школярам та абітурієнтам)
