Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Джордан Ліс,Шептосвітичі. Лабіринт блукань і знахідок,Українська мова,,,,Видавництво Старого Лева,2024.0,9789664482902.0,Дітям 7-9
Шелбі Мег'юрін,Боги й чудовиська. Книга 3,Українська мова,,,,,2024.0,9786178373313.0,Фантастика. Фентезі для підлітків
Шамблен Ж.,Щоденники Вишеньки та Валентин,Українська мова,,,,Наша Ідея,2024.0,9786178396107.0,Дітям 7-9
,Стосунки. Візуальний гід у любові й дружбі,Українська мова,,,,Моноліт-Bizz,2024.0,9786178119928.0,Non-fiction для підлітків
,Мої стосунки: 100+ технік і запитань про дружбу та кохання,Українська мова,,,,Моноліт-Bizz,2024.0,9786178119935.0,Non-fiction для підлітків
Дж. А. Вайт,Книжка Школа тіні. Фантоми. Книга 3,Українська мова,,,,Ранок,2024.0,9786170982186.0,Школярам 9-12
Ноні Лінет,Тюремна цілителька. Книга 1,Українська мова,,,,Ранок,2024.0,9786170984708.0,Книги жанру Фантастика. Фентезі. Містика
Мара Вульф,Сага сестер-відьом. Сестра зірок,Українська мова,,,,Ранок,2024.0,9786170986962.0,Книги жанру Фантастика. Фентезі. Містика
Мара Вульф,Сага про ангелів. Повернення ангелів,Українська мова,,,,Ранок,2024.0,9786170986986.0,Книги жанру Фантастика. Фентезі. Містика
Шерон Кемерон,Знання. Книга 2,Українська мова,,,,Ранок,2024.0,9786170985248.0,Фантастика. Фентезі для підлітків
Таня Гуд,Дім між трьох світів,Українська мова,,,,Ранок,2024.0,9786170983763.0,Книги жанру Фантастика. Фентезі. Містика
Василь Тибель,"Таємниця химерної пасіки, або Шалені шершні",Українська мова,,,,Ранок,2024.0,9786170987044.0,Детективи для підлітків
"Фаб'єн Клавель,Шарль Деру",Кайджю-сан. Монстр атакує!,Українська мова,,,,Vivat,2024.0,9786171703414.0,Фантастика. Фентезі для підлітків
"Олександра Орлова,Оксана Волковська",Загадковий злочин у музеї таємниць,Українська / Англійська,,,,Vivat,2024.0,9786171702721.0,Детективи для дітей
Саллі Ґрін,Напівзагублений. Книга 3,Українська мова,,,,Видавництво Старого Лева,2024.0,9786176792765.0,Фантастика. Фентезі для підлітків
Ольга Бірзул,Книжка Твоя книга про кіно,Українська мова,,,,Видавництво Старого Лева,2024.0,9789664482643.0,Культура. Мистецтво. Фотографія
Дж. А. Вайт,Школа Тіні. Визволення. Книга 2,Українська мова,,,,Ранок,2024.0,9786170982179.0,Фантастика. Фентезі для підлітків
Дж. А. Вайт,Книжка Школа Тіні. Архімагія. Книга 1,Українська мова,,,,Ранок,2024.0,9786170982162.0,Школярам 9-12
Сандрін Пуверро,«Професії майбутнього»,Українська мова,,,,#Книголав,2024.0,9786178286286.0,"Кар'єра, особиста ефективність"
"Дастін Нґуєн,Джефф Лемір",Обраниця. Мертве море. Том 2,Українська мова,,,,Ранок,2024.0,9786170984678.0,Фантастика. Фентезі для підлітків
Дженніфер Е. Нільсен,Сходження на трон. Фальшивий принц. Книга 1,Українська мова,,,,Ранок,2024.0,9786170984548.0,Пригоди для підлітків
Марк Твен,Пригоди Тома Соєра,Українська мова,,,,BookChef,2024.0,9786175482315.0,Пригоди для підлітків
