Імʼя автора;Назва книги;Мова;Перекладач;Мова оригіналу;Оригінальна назва;Назва видавця;Рік видання;ISBN;Жанр книги
Петер Слотердайк;Терор з повітря;Українська;Олександра Григоренко;;;IST Publishing;2023;9786177948260;Світова історія
Ігор Загребельний;Майдан: хроніки недореволюції;Українська;;;;Крила;2014;987-966-348-372-6;Документалістика та репортажі
Любов Савченко;Розмовляй українською правильно (тв);Українська;;;;Фоліо;2016;9789660374102T;Мова та словники
Тейлор Дженкінс Рід;Світанок Малібу. Limited edition;Українська;Альона Крупка;;;АРТБУКС;2023;9786175230459le;Сучасна світова проза
Юрій Нікітінський;В океані;Українська;;;;АРТБУКС;2019;9786-177-688-17-3;Дитячі енциклопедії
Стефані Леду;Енциклопедія DOCs. Історія транспорту;Українська;;;;АРТБУКС;2019;9786-177-688-16-6;Астрономія та космос. Фізика
Роман Малиновський;Солодке життя;Українська;;;;Meridian Czernowitz;2021;978–617–8024–33–8;Антології та коротка проза
Оксана Забужко;Найдовша подорож;Українська;;;;Комора;2022;978–617–7286–88–1;Публіцистика
Софі Оксанен;Собачий майданчик;Українська;Юрій Зуб;;;Комора;2021;978–617–7286–69–0;Сучасна світова проза
Славенка Дракуліч;Ніби мене нема (Є);Українська;Ірина Маркова;;;Комора;2020;978–617–7286–65-2;Історична проза
Міленко Єргович;Вілімовський;Українська;;;;Комора;2020;978–617–7286–58–4;Сучасна світова проза
Олександр Дюма;Кегельний король;Українська;Світлана Бірюльова;;;Апріорі;2022;978–617–629–696–6;Казки
Реаль Ґрізелідіс;Чорний - це колір;Українська;Ірина Собченко;;;Видавництво 21;2016;978–617–614–147–1;Мемуари. Біографії. Листування
;9 1/2 Years of Vogue in Ukraine;Українська;;;9 ½ years Vogue in Ukraine;VOGUE UA;2022;978-9669864895;Мистецтво, мода та фотографія
Соня Кошкіна;Майдан. Нерозказана історія;Українська;;;;Брайт Букс;2015;978-9662665-57-4;Історія України
Анна Тодд;Найяскравіші зорі;Українська;Ганна Литвиненко;;;Book Chef;2021;978-966-993-994-4;Сучасна світова проза
Анна Тодд;Найтемніший місяць;Українська;Ганна Литвиненко;;;Book Chef;2022;978-966-993-991-3;Сучасна світова проза
Мона Кастен;Врятуй нас;Українська;Ангеліна Колодніцька;;;Book Chef;2022;978-966-993-989-0;Сучасна світова проза
Наталія Музика;Сексологія. Легко й дотепно про секс, анатомію, оргазми та багато іншого;Українська;Оксана Пущінська;;;Book Chef;2022;978-966-993-988-3;Здоров'я та медицина
Тед Ченґ;Історія твого життя та інші оповідання;Українська;Євген Ширинос;;;Book Chef;2022;978-966-993-984-5;Сучасна світова проза
Тоні Вульф;Ліс;Українська;Ю. Григоренко;;;Book Chef;2021;978-966-993-732-2;Книги для найменших
Дуглас Стюарт;Шаґґі Бейн;Українська;Елла Євтушенко;;;Book Chef;2022;978-966-993-729-2;Сучасна світова проза
Девід Іглмен;Інкогніто. Таємне життя мозку;Українська;Дар'я Лученкова;;;Book Chef;2022;978-966-993-727-8;Здоров'я та медицина
Джейсон Фанг;Інтервальне голодування;Українська;Анна Дученко;;;Book Chef;2021;978-966-993-724-7;Здоров'я та медицина
Мона Кастен;Врятуй себе;Українська;Ангеліна Колодніцька;;;Book Chef;2021;978-966-993-713-1;Сучасна світова проза
Микола Гоголь;Шинель. Ніс;Українська;;;;Book Chef;2021;978-966-993-710-0;Сучасна українська проза
Антон Фрідлянд;Бізнес по-одеськи. Як побудувати мережу, не втративши себе;Українська;Н. Матвійчук;;;Book Chef;2021;978-966-993-700-1;Мемуари. Біографії. Листування
Роберт Шеклі;Чи відчуваєте ви щось, коли я роблю ось так?;Українська;Ольга Бершадська;;;Book Chef;2021;978-966-993-599-1;Антології та коротка проза
Кай-Фу Лі;Штучний інтелект 2041. 10 передбачень для майбутнього;Українська;Анна Райчук;;;Book Chef;2022;978-966-993-596-0;Технології та інтернет
Сільві д’Есклеб;Монтессорі. 150 занять із малюком удома. 0-4 роки;Українська;Марія Абрамова;;;Book Chef;2021;978-966-993-595-3;Книги для батьків
Донна Джексон Наказава;Уламки дитячих травм. Чому ми хворіємо і як це припинити;Українська;Вікторія Пушина;;;Book Chef;2022;978-966-993-594-6;Здоров'я та медицина
Ґрета Тунберґ;Наш дім у вогні;Українська;Ольга Лобастова;;;Book Chef;2022;978-966-993-592-2;Мемуари. Біографії. Листування
Ренді Креґер;Годі ходити навшпиньки. Життя з емоційно нестабільною людиною;Українська;Ірина Павленко;;;Book Chef;2021;978-966-993-591-5;Психологія та стосунки
Гленнон Дойл Мелтон;Вільна;Українська;Ганна Гнедкова;;;Book Chef;2021;978-966-993-590-8;Психологія та стосунки
Росс В. Ґрін;Вибухонебезпечна дитина. Новий підхід до розуміння надто емоційних дітей;Українська;Анна Тернова;;;Book Chef;2021;978-966-993-589-2;Книги для батьків
Айрін Мерфі-Хіскок;Green Witch. Універсальний довідник із природної магії рослин, ефірних олій та мінералів;Українська;Юлія Масюкевич;;;Book Chef;2021;978-966-993-587-8;Психологія та стосунки
Адріан Махо;Ґерда. Книга 2. Розповідь про мужність на морі;Українська;Катерина Дем'янчук;;;Book Chef;2021;978-966-993-586-1;Дитяча проза
Вілл Бульсевич;Прокачайся клітковиною. Рослинна програма оздоровлення й схуднення;Українська;Ірина Павленко;;;Book Chef;2021;978-966-993-583-0;Здоров'я та медицина
Магнус Міст;Маленька зла книжка. Том 3;Українська;Марія Вачко;;;Book Chef;2021;978-966-993-581-6;Дитяча проза
Магнус Міст;Маленька зла книжка. Том 2;Українська;Марія Вачко;;;Book Chef;2021;978-966-993-580-9;Дитяча проза
Ребекка Склут;Безсмертне життя Генрієтти Лекс;Українська;Олена Замойська;;;Book Chef;2021;978-966-993-578-6;Здоров'я та медицина
Ендрю Дженкінсон;Чому ми такі ненажери. Як приборкати апетит;Українська;Анна Дученко;;;Book Chef;2021;978-966-993-577-9;Здоров'я та медицина
Девід Ендрю Сінклер;Життєвий план. Чому ми старіємо і як цього уникнути;Українська;Павло Донченко;;;Book Chef;2021;978-966-993-576-2;Здоров'я та медицина
Пол Шарре;Невидима армія. Автономна зброя та майбутнє війни;Українська;Наталія Мочалова;;;Book Chef;2023;978-966-993-575-5;Соціологія та філософія
Колін Брайар;Працюючи навпаки. Інсайти та секрети від топ-менеджерів Amazon;Українська;Дар'я Лученкова;;;Book Chef;2021;978-966-993-574-8;Історії бізнесів та бізнесменів
Джордж Гілдер;Життя після Google. Занепад великих даних і становлення блокчейн-економіки;Українська;Тетяна Микитюк, Павло Донченко;;;Book Chef;2021;978-966-993-573-1;Технології та інтернет
Демі Мур;Inside Out. Моя істинна історія;Українська;Адам Лозевич;;;Book Chef;2021;978-966-993-571-7;Мемуари. Біографії. Листування
Джеймс Олдрідж;Золото і пісок;Українська;Олена Балера;;;Book Chef;2021;978-966-993-567-0;Класична світова проза
Стефан А. Шварцман;Чого вартий успіх. Уроки досягнення досконалості;Українська;Валерія Глінка;;;Book Chef;2021;978-966-993-565-6;Мемуари. Біографії. Листування
Ґреґорі Зукерман;Людина, яка хакнула ринок;Українська;Олександра Асташова;;The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution;Book Chef;2021;978-966-993-564-9;Мемуари. Біографії. Листування
Ґреґорі Зукерман;Людина, яка хакнула ринок. Як Джим Саймонс розпочав квантову революцію;Українська;Олександра Асташова;;;Book Chef;2021;978-966-993-563-2;Мемуари. Біографії. Листування
Ендрю Метьюз;Щастя поруч! Знайди себе у роботі й житті;Українська;Ольга Бершадська;;;Book Chef;2021;978-966-993-561-8;Психологія та стосунки
Олдос Гакслі;Який чудесний світ новий!;Українська;Віктор Морозов;;Brave New World;Book Chef;2023;978-966-993-557-1;Сучасна світова проза
Анна Вінер;Прокляття Кремнієвої долини;Українська;Ольга Бершадська;;;Book Chef;2020;978-966-993-548-9;Мемуари. Біографії. Листування
Артемій Сурін;280 днів навколо світу. Том 2;Українська;Євген Плясецький;;280 days around the world. Vol. 2;Book Chef;2020;978-966-993-542-7;Мемуари. Біографії. Листування
Артемій Сурін;280 днів навколо світу. Том 1;Українська;Євген Плясецький;;280 days around the world. Vol. 1;Book Chef;2020;978-966-993-541-0;Мемуари. Біографії. Листування
Роберт Айгер;Мандрівка тривалістю в життя;Українська;Юлія Григоренко;;;Book Chef;2020;978-966-993-539-7;Мемуари. Біографії. Листування
Браян Думайн;Безономіка. Як Amazon змінює життя;Українська;Ганна Литвиненко;;;Book Chef;2020;978-966-993-537-3;Менеджмент та лідерство
Катерина Амосова;Кардіологія у мене в крові;Українська;;;;Book Chef;2020;978-966-993-532-8;Мемуари. Біографії. Листування
В'ячеслав Прах;Жінки створені, щоб їх…;Українська;Ірина Демчук;;;Book Chef;2020;978-966-993-531-1;Мотивація
Магнус Міст;Маленька зла книжка. Том 1;Українська;Ангеліна Колодніцька;;;Book Chef;2021;978-966-993-523-6;Дитяча проза
Ада Келгун;Чому ми не спимо? Жінки й криза середнього віку;Українська;Марія Пухлій;;;Book Chef;2020;978-966-993-514-4;Здоров'я та медицина
Стівен Леві;Інсайдерська історія Facebook;Українська;Тетяна Микитюк;;;Book Chef;2021;978-966-993-511-3;Історії бізнесів та бізнесменів
Моллі Кармел;Попрощайся з цукром. Інструкція зі здорового й щасливого життя;Українська;Ірина Павленко;;;Book Chef;2020;978-966-993-507-6;Здоров'я та медицина
