Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
,Розібрані. Життя та смерть однієї одежини.,,,,,Yakaboo Publishing,,97861779332,
Кетрін Ґрей,Несподівана радість тверезості. Кетрін Ґрей.,,,,,Yakaboo Publishing,,786177544561,
Дерек Томпсон,Хітмейкери. Дерек Томпсон.,,,,,Yakaboo Publishing,,9786177544080,
Славенка Дракуліч,Як ми пережили комунізм і навіть сміялися. Славенка Дракуліч.,,,,,Yakaboo Publishing,,9786177544103,
Памела Дракермен,Дорослих не буває. Життя після 40. Памела Дракермен.,,,,,Yakaboo Publishing,,9786177544110,
Ярослав Грицак,Нарис історії України. Формування модерної нації XIX-XX століття.,,,,,Yakaboo Publishing,2022.0,9786177544127,
Клариса Пікола Естес,"Жінки, що біжать з вовками. Архетип Дикої жінки у міфах та легендах.",,,,,Yakaboo Publishing,,9786177544165,
Аві Йоріш,Нехай будуть з вами інновації. Як ізраїльська винахідливість рятує світ.,,,,,Yakaboo Publishing,2019.0,9786177544172,
Дейвид Патрикаракос,Війна у 140 знаках. Як соціальні медіа змінюють конфлікти у XXI столітті.,,,,,Yakaboo Publishing,,9786177544189,
Майкл МакФол,Від Холодної війни до Гарячого миру.,,,,,Yakaboo Publishing,,9786177544219,
Джейк Кнапп,"Знайти час. Джейк Кнапп, Джон Зерацкі.",,,,,Yakaboo Publishing,,9786177544226,
Емілі Остер,Шпаргалка для батьків. Емілі Остер.,,,,,Yakaboo Publishing,,9786177544233,
Барак Обама,Мрії мого батька. Історія про расу і спадок. Барак Обама.,,,,,Yakaboo Publishing,,9786177544264,
Саймон Крічлі,"Про що ми думаємо, коли думаємо про футбол.",,,,,Yakaboo Publishing,,9786177544271,
Тара Шустер,"Купи собі той довбаний букет: та інші способи зібратися докупи від тієї, котрій вдалось.",,,,,Yakaboo Publishing,,9786177544288,
Ден Зігмонд,Офіс Будди. Давнє мистецтво пробуддження через сумлінну роботу.,,,,,Yakaboo Publishing,,9786177544295,
Аарон МакКоннелл,"Історія пива у коміксах. Джонатан Геннесі, Майк Сміт, Аарон МакКоннелл.",,,,,Yakaboo Publishing,,9786177544301,
Брейден Ковіц,"Спринт. Джейк Кнапп, Джон Зерацкі, Брейден Ковіц.",,,,,Yakaboo Publishing,,9786177544325,
Ден Зігмонд,"Дієта Будди. Давнє мистецтво скинути вагу, не втрачаючи здорового глузду.",,,,,Yakaboo Publishing,,9786177544332,
